model,gamma,dataset,task,feature_group,auc,accuracy
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Baseline,0.7626373626373627,0.76
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Real-U,0.7434065934065933,0.76
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Rand-U,0.7626373626373627,0.75
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.5587912087912088,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.5043956043956044,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.5626373626373626,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.5785714285714285,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.6478021978021977,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6377289377289378,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.3818681318681318,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.3536630036630036,0.6399999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.36007326007326,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Baseline,0.5858974358974359,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Real-U,0.5902930402930403,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Rand-U,0.5844322344322344,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Baseline,0.5593406593406594,0.0
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Real-U,0.608058608058608,0.0
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Rand-U,0.6258241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Baseline,0.3664835164835164,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Real-U,0.3558608058608058,0.6399999999999999
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Rand-U,0.3377289377289377,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Baseline,0.5858974358974359,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Real-U,0.5902930402930403,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Rand-U,0.5844322344322344,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Baseline,0.5593406593406594,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Real-U,0.608058608058608,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6258241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Baseline,0.3664835164835164,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Real-U,0.3558608058608058,0.6399999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Rand-U,0.3377289377289377,0.6499999999999999
Qwen3-8B,0,mmlu,5A_Correctness,Baseline,0.8156190476190476,0.8
Qwen3-8B,0,mmlu,5A_Correctness,Real-U,0.8060952380952381,0.8099999999999999
Qwen3-8B,0,mmlu,5A_Correctness,Rand-U,0.8102857142857143,0.8
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Baseline,0.6622710622710621,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Real-U,0.6791208791208792,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6723443223443224,0.0
Qwen3-8B,0,medqa,5A_Correctness,Baseline,0.6516190476190478,0.71
Qwen3-8B,0,medqa,5A_Correctness,Real-U,0.6206666666666666,0.72
Qwen3-8B,0,medqa,5A_Correctness,Rand-U,0.6436190476190475,0.7
Qwen3-8B,1,mmlu,5A_Correctness,Baseline,0.818,0.8
Qwen3-8B,1,mmlu,5A_Correctness,Real-U,0.8084761904761905,0.8099999999999999
Qwen3-8B,1,mmlu,5A_Correctness,Rand-U,0.8153333333333335,0.8099999999999999
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Real-U,0.680952380952381,0.0
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Rand-U,0.6697802197802198,0.0
Qwen3-8B,1,medqa,5A_Correctness,Baseline,0.6516190476190477,0.71
Qwen3-8B,1,medqa,5A_Correctness,Real-U,0.6126666666666666,0.7
Qwen3-8B,1,medqa,5A_Correctness,Rand-U,0.6486666666666666,0.7
Qwen3-8B,2,mmlu,5A_Correctness,Baseline,0.818,0.8
Qwen3-8B,2,mmlu,5A_Correctness,Real-U,0.8084761904761905,0.8099999999999999
Qwen3-8B,2,mmlu,5A_Correctness,Rand-U,0.8153333333333335,0.8099999999999999
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Real-U,0.680952380952381,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6697802197802198,0.0
Qwen3-8B,2,medqa,5A_Correctness,Baseline,0.6516190476190477,0.71
Qwen3-8B,2,medqa,5A_Correctness,Real-U,0.6126666666666666,0.7
Qwen3-8B,2,medqa,5A_Correctness,Rand-U,0.6486666666666666,0.7
Qwen2.5-7B-Instruct,0,mmlu,5A_Correctness,Baseline,0.8261904761904763,0.8099999999999999
Qwen2.5-7B-Instruct,0,mmlu,5A_Correctness,Real-U,0.8333333333333333,0.7799999999999999
Qwen2.5-7B-Instruct,0,mmlu,5A_Correctness,Rand-U,0.8333333333333336,0.7899999999999999
Qwen2.5-7B-Instruct,0,mmlu,5B_ReasoningDemand,Baseline,0.6521978021978022,0.0
Qwen2.5-7B-Instruct,0,mmlu,5B_ReasoningDemand,Real-U,0.6344322344322345,0.0
Qwen2.5-7B-Instruct,0,mmlu,5B_ReasoningDemand,Rand-U,0.6448717948717949,0.0
Qwen2.5-7B-Instruct,0,medqa,5A_Correctness,Baseline,0.6946666666666668,0.73
Qwen2.5-7B-Instruct,0,medqa,5A_Correctness,Real-U,0.6851428571428572,0.7
Qwen2.5-7B-Instruct,0,medqa,5A_Correctness,Rand-U,0.683047619047619,0.73
Qwen2.5-7B-Instruct,1,mmlu,5A_Correctness,Baseline,0.8285714285714288,0.8099999999999999
Qwen2.5-7B-Instruct,1,mmlu,5A_Correctness,Real-U,0.8333333333333333,0.76
Qwen2.5-7B-Instruct,1,mmlu,5A_Correctness,Rand-U,0.830952380952381,0.7899999999999999
Qwen2.5-7B-Instruct,1,mmlu,5B_ReasoningDemand,Baseline,0.6452380952380953,0.0
Qwen2.5-7B-Instruct,1,mmlu,5B_ReasoningDemand,Real-U,0.6371794871794872,0.0
Qwen2.5-7B-Instruct,1,mmlu,5B_ReasoningDemand,Rand-U,0.6357142857142858,0.0
Qwen2.5-7B-Instruct,1,medqa,5A_Correctness,Baseline,0.6970476190476191,0.72
Qwen2.5-7B-Instruct,1,medqa,5A_Correctness,Real-U,0.694952380952381,0.7100000000000001
Qwen2.5-7B-Instruct,1,medqa,5A_Correctness,Rand-U,0.6803809523809523,0.72
Qwen2.5-7B-Instruct,2,mmlu,5A_Correctness,Baseline,0.8285714285714288,0.8099999999999999
Qwen2.5-7B-Instruct,2,mmlu,5A_Correctness,Real-U,0.8333333333333333,0.76
Qwen2.5-7B-Instruct,2,mmlu,5A_Correctness,Rand-U,0.830952380952381,0.7899999999999999
Qwen2.5-7B-Instruct,2,mmlu,5B_ReasoningDemand,Baseline,0.6452380952380953,0.0
Qwen2.5-7B-Instruct,2,mmlu,5B_ReasoningDemand,Real-U,0.6371794871794872,0.0
Qwen2.5-7B-Instruct,2,mmlu,5B_ReasoningDemand,Rand-U,0.6357142857142858,0.0
Qwen2.5-7B-Instruct,2,medqa,5A_Correctness,Baseline,0.6970476190476191,0.72
Qwen2.5-7B-Instruct,2,medqa,5A_Correctness,Real-U,0.694952380952381,0.7100000000000001
Qwen2.5-7B-Instruct,2,medqa,5A_Correctness,Rand-U,0.6803809523809523,0.72
