model,gamma,direction,dataset,y_correct,marker_hit,id,refusal_detected,format_violation,choice_margin,answer_entropy
Llama-3.1-8B-Instruct,10,real,medqa,0.69,0.0,0,0.0,0.0,3.015,0.35171502102562224
Llama-3.1-8B-Instruct,10,real,mmlu,0.67,0.0,0,0.0,0.0,3.5225,0.26098921793942276
Qwen2.5-7B-Instruct,0,rand,medqa,0.71,0.0,0,0.0,0.0,6.5225,0.3307450162624332
Qwen2.5-7B-Instruct,0,rand,mmlu,0.7,0.0,0,0.0,0.0,7.9825,0.28729371422473365
Qwen2.5-7B-Instruct,0,real,medqa,0.71,0.0,0,0.0,0.0,6.5225,0.3307450162624332
Qwen2.5-7B-Instruct,0,real,mmlu,0.7,0.0,0,0.0,0.0,7.9825,0.28729371422473365
Qwen2.5-7B-Instruct,2,rand,medqa,0.71,0.0,0,0.0,0.0,6.51875,0.33230576364666886
Qwen2.5-7B-Instruct,2,rand,mmlu,0.7,0.0,0,0.0,0.0,7.98125,0.2850903374208677
Qwen2.5-7B-Instruct,2,real,medqa,0.71,0.0,0,0.0,0.0,6.51875,0.33230576364666886
Qwen2.5-7B-Instruct,2,real,mmlu,0.7,0.0,0,0.0,0.0,7.98125,0.2850903374208677
Qwen2.5-7B-Instruct,5,rand,medqa,0.71,0.0,0,0.0,0.0,6.51875,0.33230576364666886
Qwen2.5-7B-Instruct,5,rand,mmlu,0.7,0.0,0,0.0,0.0,7.98125,0.2850903374208677
Qwen2.5-7B-Instruct,5,real,medqa,0.71,0.0,0,0.0,0.0,6.51875,0.33230576364666886
Qwen2.5-7B-Instruct,5,real,mmlu,0.7,0.0,0,0.0,0.0,7.98125,0.2850903374208677
Qwen2.5-7B-Instruct,10,rand,medqa,0.71,0.0,0,0.0,0.0,6.51875,0.33230576364666886
Qwen2.5-7B-Instruct,10,rand,mmlu,0.7,0.0,0,0.0,0.0,7.98125,0.2850903374208677
Qwen2.5-7B-Instruct,10,real,medqa,0.71,0.0,0,0.0,0.0,6.51875,0.33230576364666886
Qwen2.5-7B-Instruct,10,real,mmlu,0.7,0.0,0,0.0,0.0,7.98125,0.2850903374208677
Qwen3-8B,0,rand,medqa,0.73,0.0,0,0.0,0.0,4.19375,0.3856131442356855
Qwen3-8B,0,rand,mmlu,0.71,0.0,0,0.0,0.0,5.245,0.4209036041557466
Qwen3-8B,0,real,medqa,0.73,0.0,0,0.0,0.0,4.19375,0.3856131442356855
Qwen3-8B,0,real,mmlu,0.71,0.0,0,0.0,0.0,5.245,0.4209036041557466
Qwen3-8B,2,rand,medqa,0.73,0.0,0,0.0,0.0,4.19875,0.3823741894308478
Qwen3-8B,2,rand,mmlu,0.7,0.0,0,0.0,0.0,5.23375,0.423198788866011
Qwen3-8B,2,real,medqa,0.73,0.0,0,0.0,0.0,4.19875,0.3823741894308478
Qwen3-8B,2,real,mmlu,0.7,0.0,0,0.0,0.0,5.23375,0.423198788866011
Qwen3-8B,5,rand,medqa,0.73,0.0,0,0.0,0.0,4.19875,0.3823741894308478
Qwen3-8B,5,rand,mmlu,0.7,0.0,0,0.0,0.0,5.23375,0.423198788866011
Qwen3-8B,5,real,medqa,0.73,0.0,0,0.0,0.0,4.19875,0.3823741894308478
Qwen3-8B,5,real,mmlu,0.7,0.0,0,0.0,0.0,5.23375,0.4221668612506068
Qwen3-8B,10,rand,medqa,0.73,0.0,0,0.0,0.0,4.19875,0.3823741894308478
Qwen3-8B,10,rand,mmlu,0.7,0.0,0,0.0,0.0,5.23375,0.4221668612506068
Qwen3-8B,10,real,medqa,0.73,0.0,0,0.0,0.0,4.19875,0.3823741894308478
Qwen3-8B,10,real,mmlu,0.7,0.0,0,0.0,0.0,5.23375,0.4221668612506068
